Time,open,high,low,close,volume
2003/5/5 0:00,1.12177,1.13019,1.1203,1.12804,981092.902
2003/5/6 0:00,1.12798,1.1451,1.12738,1.14368,1061122.702
2003/5/7 0:00,1.14367,1.14448,1.13275,1.13677,1056796.602
2003/5/8 0:00,1.13675,1.15092,1.13026,1.15026,1058908.702
2003/5/9 0:00,1.15002,1.15376,1.14362,1.14907,1063989.002
2003/5/12 0:00,1.14958,1.16244,1.14946,1.15457,1056515.802
2003/5/13 0:00,1.15427,1.15751,1.1463,1.1515,1057731.402
2003/5/14 0:00,1.1519,1.15388,1.14681,1.1497,1053901.302
2003/5/15 0:00,1.14983,1.14988,1.13757,1.13877,1052095.203
2003/5/16 0:00,1.13845,1.15786,1.13691,1.15735,1060083.702
2003/5/19 0:00,1.16634,1.17363,1.16215,1.16596,1054386.602
2003/5/20 0:00,1.1659,1.17156,1.16013,1.17069,1059785.303
2003/5/21 0:00,1.17059,1.17453,1.16617,1.16746,1049814.802
2003/5/22 0:00,1.16724,1.17276,1.16192,1.16938,1043186.302
2003/5/23 0:00,1.16947,1.18373,1.16648,1.18266,1050209.203
2003/5/26 0:00,1.1827,1.18754,1.17972,1.1869,1052746.002
2003/5/27 0:00,1.1867,1.193,1.18176,1.18288,1057688.902
2003/5/28 0:00,1.18261,1.18453,1.17047,1.17649,1060247.702
2003/5/29 0:00,1.17657,1.19008,1.16917,1.18833,1045905.002
2003/5/30 0:00,1.18827,1.19158,1.17439,1.17691,1057263.302
2003/6/2 0:00,1.17149,1.17672,1.16524,1.17473,965518.3021
2003/6/3 0:00,1.17496,1.17783,1.16875,1.17391,1051858.602
2003/6/4 0:00,1.17365,1.17473,1.16619,1.16645,1061048.502
2003/6/5 0:00,1.16635,1.1886,1.16287,1.18405,1051561.502
2003/6/6 0:00,1.18389,1.18785,1.16843,1.17001,1057574.802
2003/6/9 0:00,1.1694,1.17859,1.16564,1.17161,1062323.202
2003/6/10 0:00,1.17146,1.17415,1.16704,1.16759,1055061.303
2003/6/11 0:00,1.16746,1.1782,1.16581,1.17421,1069003.002
2003/6/12 0:00,1.17429,1.18058,1.17036,1.17638,1066536.103
2003/6/13 0:00,1.17652,1.18774,1.17354,1.1863,1051470.302
2003/6/16 0:00,1.18694,1.19278,1.18208,1.18356,1056294.302
2003/6/17 0:00,1.18386,1.18662,1.17684,1.17937,1064582.502
2003/6/18 0:00,1.17914,1.18039,1.16611,1.16883,1056767.202
2003/6/19 0:00,1.1684,1.17387,1.15836,1.17203,1060791.802
