,0,learning,n_estimators
0,0.722857142857143,0.05,1
1,0.7371428571428572,0.05,4
2,0.7442857142857143,0.05,7
3,0.7414285714285714,0.05,10
4,0.7485714285714286,0.05,13
5,0.7542857142857142,0.05,16
6,0.7485714285714286,0.05,19
7,0.7571428571428572,0.05,22
8,0.7557142857142857,0.05,25
9,0.7542857142857142,0.05,28
10,0.7514285714285714,0.05,31
11,0.7528571428571429,0.05,34
12,0.7557142857142857,0.05,37
13,0.7528571428571429,0.05,40
14,0.7557142857142857,0.05,43
15,0.7514285714285714,0.05,46
16,0.7528571428571429,0.05,49
17,0.7557142857142857,0.05,52
18,0.76,0.05,55
19,0.7571428571428571,0.05,58
20,0.7571428571428572,0.05,61
21,0.76,0.05,64
22,0.7614285714285713,0.05,67
23,0.7585714285714286,0.05,70
24,0.76,0.05,73
25,0.76,0.05,76
26,0.76,0.05,79
27,0.7628571428571428,0.05,82
28,0.7628571428571429,0.05,85
29,0.7628571428571429,0.05,88
30,0.7642857142857143,0.05,91
31,0.7657142857142858,0.05,94
32,0.7657142857142858,0.05,97
33,0.7657142857142858,0.05,100
34,0.77,0.05,103
35,0.7685714285714286,0.05,106
36,0.7671428571428571,0.05,109
37,0.7685714285714286,0.05,112
38,0.7671428571428571,0.05,115
39,0.77,0.05,118
40,0.7657142857142858,0.05,121
41,0.7685714285714286,0.05,124
42,0.77,0.05,127
43,0.7728571428571429,0.05,130
44,0.7728571428571429,0.05,133
45,0.7728571428571429,0.05,136
46,0.7742857142857142,0.05,139
47,0.7728571428571429,0.05,142
48,0.7785714285714286,0.05,145
49,0.7742857142857142,0.05,148
50,0.7742857142857142,0.05,151
51,0.7757142857142857,0.05,154
52,0.7742857142857142,0.05,157
53,0.7757142857142857,0.05,160
54,0.7742857142857142,0.05,163
55,0.77,0.05,166
56,0.7728571428571429,0.05,169
57,0.77,0.05,172
58,0.77,0.05,175
59,0.7685714285714286,0.05,178
60,0.77,0.05,181
61,0.77,0.05,184
62,0.77,0.05,187
63,0.7671428571428571,0.05,190
64,0.7657142857142858,0.05,193
65,0.7671428571428571,0.05,196
66,0.7671428571428571,0.05,199
67,0.7657142857142858,0.05,202
68,0.7671428571428571,0.05,205
69,0.7671428571428571,0.05,208
70,0.7657142857142858,0.05,211
71,0.7657142857142858,0.05,214
72,0.7700000000000001,0.05,217
73,0.7700000000000001,0.05,220
74,0.7671428571428571,0.05,223
75,0.7642857142857143,0.05,226
76,0.7657142857142858,0.05,229
77,0.7671428571428571,0.05,232
78,0.7671428571428571,0.05,235
79,0.7642857142857143,0.05,238
80,0.7642857142857143,0.05,241
81,0.7614285714285715,0.05,244
82,0.76,0.05,247
83,0.7585714285714287,0.05,250
84,0.7585714285714287,0.05,253
85,0.7585714285714287,0.05,256
86,0.7571428571428572,0.05,259
87,0.7585714285714287,0.05,262
88,0.76,0.05,265
89,0.7614285714285715,0.05,268
90,0.7614285714285715,0.05,271
91,0.76,0.05,274
92,0.7585714285714286,0.05,277
93,0.7614285714285715,0.05,280
94,0.76,0.05,283
95,0.7614285714285715,0.05,286
96,0.7614285714285715,0.05,289
97,0.76,0.05,292
98,0.76,0.05,295
99,0.7614285714285713,0.05,298
100,0.7628571428571428,0.05,301
101,0.722857142857143,0.060000000000000005,1
102,0.7371428571428572,0.060000000000000005,4
103,0.74,0.060000000000000005,7
104,0.7471428571428571,0.060000000000000005,10
105,0.7642857142857143,0.060000000000000005,13
106,0.7557142857142857,0.060000000000000005,16
107,0.7614285714285713,0.060000000000000005,19
108,0.75,0.060000000000000005,22
109,0.7514285714285714,0.060000000000000005,25
110,0.7528571428571429,0.060000000000000005,28
111,0.7542857142857143,0.060000000000000005,31
112,0.7528571428571429,0.060000000000000005,34
